seed,node,numArrivals,numDepartures,avgQueueLength,avgWaitTime,avgResponse,busyTime,waitTime,unavailableTime,responseTime,lastEventTime,troughput,utilization,unavailable
387135465,Queue,10000.0,10000.0,2.653099999999998,4.1947975124291865,7.396837071548142,32020.395591189554,41947.975124291865,0.0,73968.37071548142,44499.59476327148,0.22472114753399225,0.7195660041744503,0.0
387135465,Source,10000.0,10000.0,1.0,0.0,4.449304880825615,44493.04880825615,0.0,0.0,44493.04880825615,44493.04880825615,0.2247542092045712,1.0,0.0
423248697,Queue Wait,10000.0,10000.0,4.9668,15.307403289200261,18.508639156538766,32012.35867338504,153074.0328920026,8482.290754245956,185086.39156538766,45143.028134236505,0.2215181482789364,0.7091318415369403,0.1878981341044107
423248697,Queue,10000.0,10000.0,2.6108000000000016,4.036850850143911,7.233932418266928,31970.81568123018,40368.50850143911,0.0,72339.32418266928,45073.66769372691,0.22185902571651037,0.7093014018399859,0.0
423248697,Source,10000.0,10000.0,1.0,0.0,4.5061413766523195,45061.4137665232,0.0,0.0,45061.4137665232,45061.4137665232,0.22191935769731996,1.0,0.0
1241367033,Queue Wait,10000.0,10000.0,4.835599999999997,14.73132177643294,17.933819269464934,32024.974930319924,147313.2177643294,8374.088000452011,179338.19269464933,45094.668855710086,0.22175570314081053,0.7101720833739924,0.18570017727032598
1241367033,Queue,10000.0,10000.0,2.5725999999999933,3.9368994018116545,7.134529577498179,31976.301756865243,39368.994018116544,0.0,71345.29577498179,45055.31463280788,0.22194939889995377,0.7097120953979776,0.0
1241367033,Source,10000.0,10000.0,1.0,0.0,4.5040786573596545,45040.786573596546,0.0,0.0,45040.786573596546,45040.786573596546,0.22202098943498738,1.0,0.0
2042976493,Queue Wait,10000.0,10000.0,5.293299999999978,16.473655226184423,19.674746036703482,32010.908105190596,164736.55226184422,8398.359408351653,196747.46036703483,45155.301854982215,0.22145793714579384,0.7089069675139082,0.18598833499825268
2042976493,Queue,10000.0,10000.0,2.6407999999999925,4.1748788635571135,7.373211162479659,31983.32298922545,41748.78863557114,0.0,73732.11162479658,45126.96807716291,0.22159698349113402,0.7087407896434998,0.0
2042976493,Source,10000.0,10000.0,1.0,0.0,4.51147187025001,45114.7187025001,0.0,0.0,45114.7187025001,45114.7187025001,0.22165715065061098,1.0,0.0
203309648,Queue Wait,10000.0,10000.0,5.457900000000004,17.505589115712088,20.71081949715242,32052.303814403334,175055.89115712087,8795.992843783215,207108.1949715242,45678.800599039016,0.21891993372983568,0.7016888226937738,0.19256181704491304
203309648,Queue,10000.0,10000.0,2.5951000000000053,4.044241132919578,7.251133858115641,32068.927251960627,40442.41132919578,0.0,72511.33858115641,45675.4099644344,0.21893618487029665,0.7021048585427346,0.0
203309648,Source,10000.0,10000.0,1.0,0.0,4.566785488740216,45667.85488740216,0.0,0.0,45667.85488740216,45667.85488740216,0.21897240465215237,1.0,0.0
2040299077,Queue Wait,10000.0,10000.0,6.111200000000002,19.856220588605428,23.054361370986857,31981.407823814283,198562.2058860543,8227.088103128594,230543.61370986857,45160.699250129124,0.2214314695309198,0.7081690132094852,0.1821736208636112
2040299077,Queue,10000.0,10000.0,2.539900000000001,3.8172628426687574,7.006690022958207,31894.271802894495,38172.628426687574,0.0,70066.90022958207,45151.21062796889,0.22147800382135283,0.7063879652240732,0.0
2040299077,Source,10000.0,10000.0,1.0,0.0,4.51398910243045,45139.8910243045,0.0,0.0,45139.8910243045,45139.8910243045,0.2215335432381912,1.0,0.0
152059815,Queue Wait,10000.0,10000.0,5.3610000000000175,16.899918737710408,20.09558465439341,31956.659166830043,168999.18737710407,8396.028099054647,200955.8465439341,44820.257792330645,0.22311339765901872,0.7129958804542678,0.18732663560206744
152059815,Queue,10000.0,10000.0,2.569000000000003,3.926228299071829,7.12262486202564,31963.96562953811,39262.28299071829,0.0,71226.2486202564,44807.486726320196,0.2231769896195927,0.7133621625504445,0.0
152059815,Source,10000.0,10000.0,1.0,0.0,4.480394008077757,44803.94008077757,0.0,0.0,44803.94008077757,44803.94008077757,0.22319465613896633,1.0,0.0
791136219,Queue Wait,10000.0,10000.0,5.268000000000008,16.625233822888084,19.825756090430875,32005.222675427918,166252.33822888084,8515.823630732924,198257.56090430875,45961.82200457825,0.21757187952653184,0.6963436452158028,0.18528037530550168
791136219,Queue,10000.0,10000.0,2.5378000000000096,3.8360740458268237,7.032676499983035,31966.024541562114,38360.740458268236,0.0,70326.76499983035,45951.06537872233,0.21762281064827077,0.6956536105986348,0.0
791136219,Source,10000.0,10000.0,1.0,0.0,4.594899454332529,45948.99454332529,0.0,0.0,45948.99454332529,45948.99454332529,0.2176326185020437,1.0,0.0
1577561610,Queue Wait,10000.0,10000.0,5.025399999999991,15.677302487703535,18.87141934493559,31941.168572320537,156773.02487703535,8470.266624395528,188714.1934493559,45653.17794212645,0.21904280163533815,0.6996483051587705,0.1855350932005895
1577561610,Queue,10000.0,10000.0,2.5796000000000054,3.9631999159701343,7.165991739696244,32027.918237261096,39631.99915970134,0.0,71659.91739696244,45634.87937940217,0.21913063288414467,0.7018297993292663,0.0
1577561610,Source,10000.0,10000.0,1.0,0.0,4.563159776371382,45631.59776371382,0.0,0.0,45631.59776371382,45631.59776371382,0.21914639175645928,1.0,0.0
1141582424,Queue Wait,10000.0,10000.0,4.450000000000006,13.136399127218883,16.338132542034575,32017.33414815693,131363.99127218884,8229.43961282563,163381.32542034576,46476.47906536786,0.21516259839596028,0.6888932809029155,0.1770667610438208
